"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Users API","PUT /users","TC_004: Update user with invalid email format","0","0","1","0","0"
"Users API","PUT /users","TC_003: Update user with missing name field","0","0","1","0","0"
"Users API","PUT /users","TC_005: Update user with string ID","1","0","0","0","0"
"Users API","POST /users","TC_005: Create user with unexpected extra fields","0","0","1","0","0"
"Users API","POST /users","TC_002: Create user with missing name","0","0","1","0","0"
"Users API","POST /users","TC_006: Create user with only username","0","0","1","0","0"
"Users API","GET /users","TC_002: Fetch user by valid ID","0","0","1","0","0"
"Users API","POST /users","TC_003: Create user with invalid email format","0","0","1","0","0"
"Users API","POST /users","TC_001: Create user successfully with valid data","0","0","1","0","0"
"Users API","GET /users","TC_006: Fetch user with no ID (trailing slash)","0","0","1","0","0"
"Users API","DELETE /users","TC_002: Delete a user with non-existent ID","0","0","1","0","0"
"Users API","DELETE /users","TC_005: Delete user with no ID in URL","0","0","1","0","0"
"Users API","GET /users","TC_005: Fetch user by string ID","0","0","1","0","0"
"Users API","PUT /users","TC_006: Update user with empty body","0","0","1","0","0"
"Users API","PUT /users","TC_002: Update user with non-existent ID","1","0","0","0","0"
"Users API","DELETE /users","TC_004: Delete a user with string ID","1","0","0","0","0"
"Users API","DELETE /users","TC_003: Delete a user with negative ID","0","0","1","0","0"
"Users API","GET /users","TC_003: Fetch user by non-existent ID","1","0","0","0","0"
"Users API","GET /users","TC_001: Fetch all users","0","0","1","0","0"
"Users API","PUT /users","TC_001: Update a user with valid data","0","0","1","0","0"
"Users API","DELETE /users","TC_001: Delete a user by valid ID","0","0","1","0","0"
"Users API","GET /users","TC_004: Fetch user by negative ID","1","0","0","0","0"
"Users API","POST /users","TC_004: Create user with empty body","0","0","1","0","0"
